Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
Iceland,ISL,2010,< 10000,< 10000,< 10000,< 10000,260000,50000,< 10000
Iceland,ISL,2020,< 10000,< 10000,< 10000,< 10000,270000,70000,< 10000
India,IND,2010,8690000,994460000,177380000,< 10000,28720000,30000,34190000
India,IND,2020,9550000,1113200000,213060000,< 10000,31060000,50000,35700000
Indonesia,IDN,2010,1780000,4170000,215600000,< 10000,24330000,240000,190000
Indonesia,IDN,2020,1860000,4350000,238990000,< 10000,28200000,250000,1150000
Iran,IRN,2010,< 10000,< 10000,77210000,< 10000,120000,< 10000,80000
Iran,IRN,2020,< 10000,< 10000,87520000,< 10000,130000,< 10000,70000
Iraq,IRQ,2010,< 10000,< 10000,30810000,< 10000,200000,< 10000,40000
Iraq,IRQ,2020,< 10000,< 10000,41910000,< 10000,160000,< 10000,50000
Ireland,IRL,2010,< 10000,10000,50000,< 10000,4190000,280000,20000
Ireland,IRL,2020,< 10000,30000,80000,< 10000,4050000,780000,30000
Israel,ISR,2010,< 10000,10000,1020000,5760000,140000,260000,140000
Israel,ISR,2020,< 10000,10000,1300000,6780000,170000,380000,150000
Italy,ITA,2010,250000,180000,2060000,50000,53240000,4050000,330000
Italy,ITA,2020,370000,260000,2650000,40000,48210000,7950000,430000
Jamaica,JAM,2010,< 10000,< 10000,< 10000,< 10000,1940000,600000,210000
Jamaica,JAM,2020,< 10000,< 10000,< 10000,< 10000,1940000,670000,210000
Japan,JPN,2010,53580000,30000,200000,< 10000,2830000,66890000,4650000
Japan,JPN,2020,46990000,40000,210000,< 10000,2840000,72570000,3640000
Jordan,JOR,2010,< 10000,< 10000,7040000,< 10000,240000,< 10000,< 10000
Jordan,JOR,2020,< 10000,< 10000,10550000,< 10000,310000,< 10000,< 10000
Kazakhstan,KAZ,2010,20000,< 10000,11730000,< 10000,4600000,480000,< 10000
Kazakhstan,KAZ,2020,20000,< 10000,15180000,< 10000,3760000,490000,30000
Kenya,KEN,2010,< 10000,60000,4670000,< 10000,34580000,1000000,1290000
Kenya,KEN,2020,< 10000,70000,5710000,< 10000,44730000,840000,870000
Kiribati,KIR,2010,< 10000,< 10000,< 10000,< 10000,110000,< 10000,< 10000
Kiribati,KIR,2020,< 10000,< 10000,< 10000,< 10000,120000,< 10000,< 10000
Kosovo,OWID_KOS,2010,< 10000,< 10000,1680000,< 10000,110000,< 10000,< 10000
Kosovo,OWID_KOS,2020,< 10000,< 10000,1650000,< 10000,100000,< 10000,< 10000
